system:index,classe,.geo
0,1,"{""type"":""Point"",""coordinates"":[-53.717242652438244,-29.730359355430334]}"
1,1,"{""type"":""Point"",""coordinates"":[-53.71410983230886,-29.72767614244448]}"
2,1,"{""type"":""Point"",""coordinates"":[-53.71589713571228,-29.725965598728166]}"
3,1,"{""type"":""Point"",""coordinates"":[-53.71599194265935,-29.724792801848228]}"
4,1,"{""type"":""Point"",""coordinates"":[-53.7155338868386,-29.723853287260194]}"
5,1,"{""type"":""Point"",""coordinates"":[-53.71407476513449,-29.72251160274639]}"
6,1,"{""type"":""Point"",""coordinates"":[-53.714450274396576,-29.72299603791918]}"
7,1,"{""type"":""Point"",""coordinates"":[-53.71754706540818,-29.719760985158874]}"
8,1,"{""type"":""Point"",""coordinates"":[-53.71811569371934,-29.719903078019204]}"
9,1,"{""type"":""Point"",""coordinates"":[-53.7101118888878,-29.71885447535354]}"
10,1,"{""type"":""Point"",""coordinates"":[-53.70949498081438,-29.719683743254908]}"
11,1,"{""type"":""Point"",""coordinates"":[-53.70738361631706,-29.717813761720315]}"
12,1,"{""type"":""Point"",""coordinates"":[-53.70723341261223,-29.71626700297665]}"
13,1,"{""type"":""Point"",""coordinates"":[-53.706546767104406,-29.717627406507976]}"
14,1,"{""type"":""Point"",""coordinates"":[-53.70964152231229,-29.715992763266403]}"
15,1,"{""type"":""Point"",""coordinates"":[-53.711336678409694,-29.715899584013158]}"
16,1,"{""type"":""Point"",""coordinates"":[-53.7155578802212,-29.714507976007496]}"
17,1,"{""type"":""Point"",""coordinates"":[-53.71611164021348,-29.714620324582267]}"
18,1,"{""type"":""Point"",""coordinates"":[-53.71732399868821,-29.714624983606356]}"
19,1,"{""type"":""Point"",""coordinates"":[-53.71187996579426,-29.708475675727854]}"
20,1,"{""type"":""Point"",""coordinates"":[-53.710451211611705,-29.70280884959859]}"
21,1,"{""type"":""Point"",""coordinates"":[-53.709598269144955,-29.704160116462386]}"
22,1,"{""type"":""Point"",""coordinates"":[-53.71047266928382,-29.704327858666637]}"
23,1,"{""type"":""Point"",""coordinates"":[-53.711545552889774,-29.70435581567345]}"
24,1,"{""type"":""Point"",""coordinates"":[-53.71262709246196,-29.70415475019159]}"
25,1,"{""type"":""Point"",""coordinates"":[-53.71547071797266,-29.704367061197]}"
26,1,"{""type"":""Point"",""coordinates"":[-53.7160903082551,-29.704315806684324]}"
27,1,"{""type"":""Point"",""coordinates"":[-53.71611444813623,-29.70449519736426]}"
28,1,"{""type"":""Point"",""coordinates"":[-53.71705818859029,-29.704717069710885]}"
29,1,"{""type"":""Point"",""coordinates"":[-53.7169509002297,-29.70541598983767]}"
30,1,"{""type"":""Point"",""coordinates"":[-53.717822618159545,-29.705413660112]}"
31,1,"{""type"":""Point"",""coordinates"":[-53.71869231637921,-29.705432982765966]}"
32,1,"{""type"":""Point"",""coordinates"":[-53.71865476545301,-29.70530950725154]}"
33,1,"{""type"":""Point"",""coordinates"":[-53.71977881138982,-29.705299288055684]}"
34,1,"{""type"":""Point"",""coordinates"":[-53.720207813612056,-29.705081882027443]}"
35,1,"{""type"":""Point"",""coordinates"":[-53.72016133998612,-29.704433738355142]}"
36,1,"{""type"":""Point"",""coordinates"":[-53.708485622101286,-29.698759547008514]}"
37,1,"{""type"":""Point"",""coordinates"":[-53.71185447662399,-29.69682106810475]}"
38,1,"{""type"":""Point"",""coordinates"":[-53.718083724846096,-29.69333203979319]}"
39,1,"{""type"":""Point"",""coordinates"":[-53.72087974591036,-29.696135949747056]}"
40,1,"{""type"":""Point"",""coordinates"":[-53.72167367977876,-29.69610566051083]}"
41,1,"{""type"":""Point"",""coordinates"":[-53.7241489555617,-29.692267652487573]}"
42,1,"{""type"":""Point"",""coordinates"":[-53.727594975991664,-29.69118987862057]}"
43,1,"{""type"":""Point"",""coordinates"":[-53.727219466729586,-29.691208519063593]}"
44,1,"{""type"":""Point"",""coordinates"":[-53.729440335793925,-29.69048153922346]}"
45,1,"{""type"":""Point"",""coordinates"":[-53.73181060416979,-29.692436649277667]}"
46,1,"{""type"":""Point"",""coordinates"":[-53.727798019483515,-29.693993095047244]}"
47,1,"{""type"":""Point"",""coordinates"":[-53.74381530972042,-29.699855159550207]}"
48,1,"{""type"":""Point"",""coordinates"":[-53.770690787818324,-29.704432686541587]}"
49,1,"{""type"":""Point"",""coordinates"":[-53.77724817795319,-29.706053747168006]}"
50,1,"{""type"":""Point"",""coordinates"":[-53.80500499887379,-29.69657604696156]}"
51,1,"{""type"":""Point"",""coordinates"":[-53.80534698052318,-29.69655857247987]}"
52,1,"{""type"":""Point"",""coordinates"":[-53.80635248529262,-29.6961245218532]}"
53,1,"{""type"":""Point"",""coordinates"":[-53.806022573583796,-29.69551873532485]}"
54,1,"{""type"":""Point"",""coordinates"":[-53.80791767490387,-29.69472528169913]}"
55,1,"{""type"":""Point"",""coordinates"":[-53.80801959884644,-29.694047257090528]}"
56,1,"{""type"":""Point"",""coordinates"":[-53.80466951978684,-29.692669559588175]}"
57,1,"{""type"":""Point"",""coordinates"":[-53.81993137906877,-29.690011824958994]}"
58,1,"{""type"":""Point"",""coordinates"":[-53.82053889941064,-29.689905806130678]}"
59,1,"{""type"":""Point"",""coordinates"":[-53.82116115124208,-29.689679803989304]}"
60,1,"{""type"":""Point"",""coordinates"":[-53.860379776217485,-29.700580699499895]}"
61,1,"{""type"":""Point"",""coordinates"":[-53.86651667044356,-29.69935053760376]}"
62,1,"{""type"":""Point"",""coordinates"":[-53.876129707552934,-29.70248182916117]}"
63,1,"{""type"":""Point"",""coordinates"":[-53.842785148876,-29.708430973120638]}"
64,1,"{""type"":""Point"",""coordinates"":[-53.84415843989163,-29.70971693483517]}"
65,1,"{""type"":""Point"",""coordinates"":[-53.839868785917126,-29.70869352749673]}"
66,1,"{""type"":""Point"",""coordinates"":[-53.866946058074845,-29.712526915719184]}"
67,1,"{""type"":""Point"",""coordinates"":[-53.87016470889271,-29.71597460631449]}"
68,1,"{""type"":""Point"",""coordinates"":[-53.883247202353324,-29.681306294021752]}"
69,1,"{""type"":""Point"",""coordinates"":[-53.88112289281353,-29.674371127445355]}"
70,1,"{""type"":""Point"",""coordinates"":[-53.88260347218975,-29.675135510658777]}"
71,1,"{""type"":""Point"",""coordinates"":[-53.868569553340514,-29.672675349888912]}"
72,1,"{""type"":""Point"",""coordinates"":[-53.855584621221105,-29.67162660233813]}"
73,1,"{""type"":""Point"",""coordinates"":[-53.8489542005363,-29.67075032710332]}"
74,1,"{""type"":""Point"",""coordinates"":[-53.843760448026494,-29.67642978914222]}"
75,1,"{""type"":""Point"",""coordinates"":[-53.842000918912724,-29.68097862268636]}"
76,1,"{""type"":""Point"",""coordinates"":[-53.83942599825843,-29.680009216401476]}"
77,1,"{""type"":""Point"",""coordinates"":[-53.79925453232476,-29.660608831766744]}"
78,1,"{""type"":""Point"",""coordinates"":[-53.77931347810009,-29.653049141565074]}"
79,1,"{""type"":""Point"",""coordinates"":[-53.78158799134472,-29.645552561034258]}"
80,1,"{""type"":""Point"",""coordinates"":[-53.789706736370015,-29.647504652626466]}"
81,1,"{""type"":""Point"",""coordinates"":[-53.80862105419852,-29.64947129607586]}"
